Product,Annual_Demand,Unit_Cost,Annual_Holding_Cost,Demand_Holding_Cost
Autumns Granola Bar - Cinnamon Almond,19,1.2,0.24,4.56
Bai Antioxidant - Brasilia BB,5,1.5299999999999998,0.306,1.53
Bai Antioxidant - Kula Watermelon,5,1.65,0.33,1.6500000000000001
Bai Antioxidant - Kupang strawberry kiwi,14,1.65,0.33,4.62
Bai Antioxidant - Molokai Coconut,12,1.5,0.30000000000000004,3.6000000000000005
Bai Antioxidant - Tanzania Lemon Super Tea,71,1.65,0.33,23.43
Bai Antioxidant - Zambia Bingcherry,18,1.525,0.305,5.49
Bai Lemonade - Burundi Blueberry,10,1.5450000000000002,0.30900000000000005,3.0900000000000007
Belvita Breakfast Biscuit Bites - Blueberry,6,0.8999999999999999,0.18,1.08
Belvita Breakfast Cookies - Blueberry,3,0.8999999999999999,0.18,0.54
Belvita Snack Bites - Cinnamon BS Go Paks,5,1.7999999999999998,0.36,1.7999999999999998
Belvita Snack Packs - Blueberry,33,0.8318181818181819,0.16636363636363638,5.49
Belvita Snack Packs - Chocolate,5,0.8999999999999999,0.18,0.8999999999999999
Belvita Snack Packs - Cinnamon,2,0.75,0.15000000000000002,0.30000000000000004
BodyArmor  LYTE - Blueberry Pomegranate,32,1.65,0.33,10.56
BodyArmor LYTE  - Berry Punch,5,1.5,0.30000000000000004,1.5000000000000002
BodyArmor LYTE  - Peach Mango,41,1.5841463414634145,0.31682926829268293,12.99
BodyArmor LYTE - Strawberry Lemonade,37,1.65,0.33,12.21
Bubly - Blackberry,4,0.8999999999999999,0.18,0.72
Bubly - Cherry,5,0.8999999999999999,0.18,0.8999999999999999
Bubly - Grapefruit,3,0.8999999999999999,0.18,0.54
Bubly - Lime,4,0.8999999999999999,0.18,0.72
Bubly - Mango,5,0.8999999999999999,0.18,0.8999999999999999
Canada Dry - Ginger Ale,15,1.62,0.32400000000000007,4.860000000000001
Canada Dry - Ginger Ale & Lemonde,43,0.969767441860465,0.19395348837209303,8.34
Cheetos - Crunchy,29,0.8999999999999999,0.18,5.22
Cheetos - Fleming Hot Crunchy,113,0.9663716814159292,0.19327433628318585,21.84
Cheetos Baked - Crunchy Cheese,31,0.8999999999999999,0.18,5.58
Cheetos Baked - Flaming Hot,29,0.8999999999999999,0.18,5.22
Cheetos Cheddar Jalapeno,35,0.8999999999999999,0.18,6.3
Cheetos Flaming Hot Limon Crunchy,99,0.9333333333333333,0.18666666666666668,18.48
Cheetos Puffs,39,0.8999999999999999,0.18,7.02
CheezIt - Cheddar Sour Cream and Onion,47,0.874468085106383,0.1748936170212766,8.22
CheezIt - Double Cheese,61,0.8409836065573769,0.1681967213114754,10.26
CheezIt - Go Paks,31,2.2064516129032254,0.4412903225806451,13.679999999999998
CheezIt - Original,205,0.934390243902439,0.1868780487804878,38.31
CheezIt - White Cheddar,77,0.8727272727272727,0.17454545454545456,13.440000000000001
Chesters Fries Flaming hot,74,0.9364864864864864,0.18729729729729727,13.859999999999998
Chum Fruit Bites - Mango/Strawberry,14,0.75,0.15000000000000002,2.1000000000000005
Coca Cola - Regular,353,0.9356940509915014,0.18713881019830028,66.06
Coca Cola - Zero Sugar,661,0.8959152798789712,0.17918305597579426,118.44000000000001
Doritos Cool Ranch,40,0.8999999999999999,0.18,7.199999999999999
Doritos Dinamita Chile Lemon,25,0.8160000000000001,0.1632,4.08
Doritos Famin Hot Nacho,64,0.8999999999999999,0.18,11.52
Doritos Nacho Cheese,49,0.8999999999999999,0.18,8.82
Doritos Spicy Nacho,52,0.9403846153846154,0.18807692307692309,9.780000000000001
Fritos - Original,57,0.9684210526315788,0.1936842105263158,11.040000000000001
Funyuns - Flaming Hot,103,0.9116504854368932,0.18233009708737866,18.78
Genius Keto Bar - Chocolate Dream,29,1.2,0.24,6.96
Goldfish Baked - Cheddar,159,0.7867924528301887,0.15735849056603776,25.020000000000003
Good Health Veggie Stix - Sea Salt,54,0.8999999999999999,0.18,9.719999999999999
Good Health Veggie Stix - Zesty Ranch,26,0.8999999999999999,0.18,4.68
Hersheys Milk Chocolate,15,1.38,0.27599999999999997,4.14
Honest Tea - Berry Hibiscus,10,1.65,0.33,3.3000000000000003
Hungry Buddha - Chocolate Chip,13,1.2,0.24,3.12
Hungry Buddha - Coconut Cocoa,6,1.2,0.24,1.44
Iberia Coconut Water,97,1.2,0.24,23.279999999999998
Ice Breakers Ice Cubes - PepperMint,24,3.0,0.6000000000000001,14.400000000000002
Jack Links Beef Steak Original,22,1.0772727272727272,0.21545454545454545,4.74
Jacks Links Bar Beef Strip,33,1.2,0.24,7.92
KIND Bar - Dark Choc Almond SeaSalt,2,0.8999999999999999,0.18,0.36
Keep Healthy - Chocolate Coconut,2,1.2,0.24,0.48
Keep Healthy - Chocolate Fudge,7,1.2,0.24,1.68
Keep Healthy - Sea Salt Brownie,3,1.2,0.24,0.72
Keto Bar - Chocolate Dream,6,1.2,0.24,1.44
Keto Bar - Creamy Peanut Butter Chocolate,70,1.1957142857142857,0.23914285714285716,16.740000000000002
Keto Krisp - Almond Butter,30,1.11,0.22200000000000003,6.660000000000001
Keto Krisp - Almond/Chocolate,15,1.21,0.242,3.63
Kinder - Bueno - Crispy Creamy Chocolate,102,1.2,0.24,24.48
KitKat - Crisp Wafers,274,1.2930656934306568,0.2586131386861314,70.86
Larabar - Peanut Butter chocolate Chip,1,1.2,0.24,0.24
Lays - Barbecue,7,0.8999999999999999,0.18,1.26
Lays - Classic,88,0.9340909090909091,0.18681818181818183,16.44
Lays Baked - Barbecue,3,0.8999999999999999,0.18,0.54
Lays Baked - Original,11,0.8999999999999999,0.18,1.98
Lenny & Larrys - Chocolate Chip,53,1.3698113207547171,0.27396226415094344,14.520000000000001
Lenny & Larrys - SnickerDoodle,45,1.7,0.34,15.3
Lindens - Chocolate Chippers,30,1.14,0.22799999999999998,6.84
Made in Nature - Mangoes Sweet & Tangy,4,1.2,0.24,0.96
Mini Chips Ahoy,62,1.5290322580645161,0.30580645161290326,18.96
Mini Chips Ahoy - Go Paks,27,2.4,0.48,12.959999999999999
Miss Vickie's Potato Chip - Jalapeno,56,0.8999999999999999,0.18,10.08
Miss Vickie's Potato Chip - Lime & Cracked Pe,57,0.8999999999999999,0.18,10.26
Miss Vickie's Potato Chip - Sea Salt & Vinega,66,0.8999999999999999,0.18,11.879999999999999
Miss Vickie's Potato Chip - Sea Salt Original,73,0.8999999999999999,0.18,13.139999999999999
Miss Vickie's Potato Chip - Smokehouse BBQ,61,0.8901639344262294,0.1780327868852459,10.86
Monster Energy  Zero Ultra,10,1.7999999999999998,0.36,3.5999999999999996
Monster Energy Original,516,1.8046511627906976,0.36093023255813955,186.24
Munchies Snack mix Flaming Hot,16,1.10625,0.22125,3.54
Nature's Bakery Fig Bar - Blueberry,83,0.8999999999999999,0.18,14.94
Nature's Bakery Fig Bar - Raspberry,95,0.8999999999999999,0.18,17.099999999999998
Nature's Garden Trail Mix - Cranberry Healthy,9,0.8999999999999999,0.18,1.6199999999999999
Nature's Garden Trail Mix - Heart Healthy Mix,4,0.6749999999999999,0.13499999999999998,0.5399999999999999
Nature's Garden Trail Mix - Omega 3,4,0.6749999999999999,0.13499999999999998,0.5399999999999999
Nature's Valley Chewy Granola Bar - Fruit & N,1,0.75,0.15000000000000002,0.15000000000000002
Nature's Valley Crunchy Granola Bar - Oats &,1,0.75,0.15000000000000002,0.15000000000000002
Newtons Fig Bar,49,0.9612244897959182,0.19224489795918365,9.419999999999998
NuGo Dark Chocolate - Choc Chip,9,1.2,0.24,2.16
NuGo Dark Chocolate - Pretzel Sea Salt,6,1.2,0.24,1.44
Nutri Grain Apple Cinnamon,32,0.8999999999999999,0.18,5.76
Nutter Butter Bites,32,0.778125,0.155625,4.98
Oberto Specialty Meats - Original,5,1.32,0.264,1.32
Orchard Bar - Cranberry Orange & Walnut,1,1.2,0.24,0.24
Orchard Bar - Pineapple Coconut & Macadamia,1,1.2,0.24,0.24
Orchard Bar - Variety,7,1.2,0.24,1.68
Oreo Mini,141,1.004255319148936,0.20085106382978724,28.32
Oreo Mini - Go Paks,64,2.3718749999999997,0.474375,30.36
Oreo Single Server 6 ct,54,1.2,0.24,12.959999999999999
Poland Springs Water,457,0.9223194748358863,0.18446389496717727,84.30000000000001
Pop Corners - Kettle Corn,67,0.8999999999999999,0.18,12.059999999999999
Pop Corners - Sea Salt,88,0.8999999999999999,0.18,15.84
Pop Corners - Spicy Queso,51,0.8999999999999999,0.18,9.18
Pop Corners - Sweet & Salty Kettle,21,0.8999999999999999,0.18,3.78
Pop Corners - White Cheddar,60,0.8999999999999999,0.18,10.799999999999999
Popchips Potato - Barbeque,23,0.8999999999999999,0.18,4.14
Popchips Potato - Sea Salt,29,0.8999999999999999,0.18,5.22
Popchips Potato - Sour Cream & Onion,13,0.8999999999999999,0.18,2.34
Pringles - Cheddar Cheese,39,1.876923076923077,0.3753846153846154,14.640000000000002
Pringles - Original,24,1.9749999999999999,0.395,9.48
Pringles - Sour Cream & Onion,36,1.9833333333333332,0.39666666666666667,14.28
Pure Organic Fruit Bar - Pineapple Passion Fr,2,0.8999999999999999,0.18,0.36
Pure Organic Fruit Bar - Raspberry Lemonade,5,1.14,0.22799999999999998,1.14
Pure Organic Fruit Bar - Strawberry Banana,18,0.8166666666666667,0.16333333333333333,2.94
Pure Organic Pineapple Passionfruit,5,0.6,0.12,0.6
Quaker Apple Cinnamon Rice Crisps,4,0.6,0.12,0.48
Quaker ButterMilk Ranch Rice Crisps,4,0.6749999999999999,0.13499999999999998,0.5399999999999999
Quaker Caramel Rice Crisps,7,0.8999999999999999,0.18,1.26
Quaker Cheddar Rice Crisps,1,0.8999999999999999,0.18,0.18
RXBAR - Protein Bar - Chocolate Sea Salt,42,1.2,0.24,10.08
RXBAR - Protein Bar - Peanut Butter,40,1.2,0.24,9.6
Red Bull - Energy Drink - Sugar Free,21,2.1,0.42000000000000004,8.82
Red Bull - Original,239,2.0384937238493723,0.4076987447698745,97.44000000000001
Remedy Kombucha - Ginger Lemon,2,1.7999999999999998,0.36,0.72
Ritz Bits Cheese,35,0.8742857142857142,0.17485714285714285,6.12
Ritz Bits Peanut Butter,13,0.9692307692307692,0.19384615384615386,2.52
Robert Irvine's - Fit Crunch -  Chocolate Pea,173,1.2,0.24,41.519999999999996
Ruffles Baked  - Cheddar & Sour Cream,20,0.8999999999999999,0.18,3.5999999999999996
S. Pellegrino Essenza Mineral Water - Blood O,15,1.5,0.30000000000000004,4.500000000000001
S. Pellegrino Sparkling Mineral Water,68,1.2,0.24,16.32
Seapoint Farms Dry Roasted Edamame - Wasabi,39,1.4846153846153847,0.29692307692307696,11.580000000000002
Simply Protein - Dark Chocolate Sea Salt,16,1.2,0.24,3.84
Simply Protein - Lemon Coconut,31,1.2,0.24,7.4399999999999995
Simply Protein - Peanut Butter Chocolate,22,1.2,0.24,5.279999999999999
Skinny Pop Popcorn,15,0.8999999999999999,0.18,2.6999999999999997
Skippy Peanut Butter - Go Paks,2,2.6999999999999997,0.5399999999999999,1.0799999999999998
Snapple Diet Tea - Lemon,97,1.5,0.30000000000000004,29.100000000000005
Snapple Diet Tea - Peach Tea,116,1.5,0.30000000000000004,34.800000000000004
Snapple Diet Tea - Raspberry,34,1.5,0.30000000000000004,10.200000000000001
Snapple Lemonade - black berry,8,1.5,0.30000000000000004,2.4000000000000004
Snapple Lemonade - pineapple,8,1.5,0.30000000000000004,2.4000000000000004
Snapple Lemonade - watermelon,8,1.5,0.30000000000000004,2.4000000000000004
Snapple Tea - Lemon,106,1.5,0.30000000000000004,31.800000000000004
Snapple Tea - Peach,68,1.5,0.30000000000000004,20.400000000000002
Snapple Tea - Raspberry,139,1.5140287769784173,0.3028057553956835,42.09
Snyder's of Hanover Pretzel - Cheddar Cheese,22,1.2272727272727273,0.24545454545454548,5.4
Snyder's of Hanover Pretzel Pieces - Cheddar,22,1.4318181818181817,0.2863636363636363,6.299999999999999
Snyder's of Hanover Pretzel Pieces - Honey Mu,35,1.3114285714285712,0.26228571428571423,9.179999999999998
Snyder's of Hanover Pretzel Pieces - Hot Buff,27,1.3777777777777778,0.27555555555555555,7.4399999999999995
Spindrift - Sparkling Water  Grapefruit,10,0.8999999999999999,0.18,1.7999999999999998
Spindrift - Sparkling Water  Lime,60,0.885,0.17700000000000002,10.620000000000001
Spindrift - Sparkling Water - Pineapple,56,0.8999999999999999,0.18,10.08
Spindrift - Sparkling Water Raspberry Lime,2,0.8999999999999999,0.18,0.36
Starbucks Doubleshot Energy - Coffee,25,2.16,0.43200000000000005,10.8
Starbucks Doubleshot Energy - Mocha,133,2.1225563909774436,0.42451127819548873,56.46
Starbucks Refresher - Real Coconut Water,111,1.8216216216216217,0.3643243243243244,40.440000000000005
Stretch Island Fruit Leathers Snacks - Variet,7,0.6,0.12,0.84
SunChips Multigrain - French Onion,47,0.8999999999999999,0.18,8.459999999999999
SunChips Multigrain - Harvest Cheddar,235,0.8999999999999999,0.18,42.3
SunChips Multigrain - Original,156,0.8999999999999999,0.18,28.08
SunChips Multigrain - Salsa,205,0.8999999999999999,0.18,36.9
Sunkist Soda - Orange,290,0.7893103448275862,0.15786206896551724,45.78
Takis - Hot Chilli Pepper & Lime,97,0.8938144329896908,0.17876288659793815,17.34
Takis FUGEO mini,83,0.8945783132530121,0.17891566265060244,14.850000000000001
Teddy Grahams - Go Paks,21,2.1999999999999997,0.43999999999999995,9.239999999999998
TruBar - Cookie Dough,7,1.5,0.30000000000000004,2.1000000000000005
TruBar - Daydreaming about Donuts,7,1.5,0.30000000000000004,2.1000000000000005
V8 Vegetable Juice - Original,28,1.0392857142857144,0.20785714285714288,5.82
Vitamin Water - Ice Cool Blue Lavender,11,1.5954545454545455,0.3190909090909091,3.51
Vitamin Water - Squeezed Lemonade,25,1.626,0.3252,8.129999999999999
Vitamin Water - XXX Acai BB Pomegranate,17,1.65,0.33,5.61
Wonderful Pistachios - Variety,196,1.2,0.24,47.04
Zevia Organic Tea - Peach,4,1.5,0.30000000000000004,1.2000000000000002
Zevia Zero Calorie Energy - Mango Ginger,6,1.5,0.30000000000000004,1.8000000000000003
Zone Perfect - Chocolate Chip Cookie Dough,4,1.2,0.24,0.96
