Product,Forecast_Next_Month,RMSE,Safety_Stock_95,Order_Up_To_Level_95,Safety_Stock_99,Order_Up_To_Level_99
Coca Cola - Zero Sugar,41.0,17.83723048807268,42.0,83.0,42.0,83.0
Monster Energy Original,35.0,14.646559407347791,35.0,70.0,35.0,70.0
Poland Springs Water,42.0,13.631065221334861,32.0,74.0,32.0,74.0
Coca Cola - Regular,82.0,37.19734323524722,87.0,169.0,87.0,169.0
Sunkist Soda - Orange,28.0,11.786725078153909,28.0,56.0,28.0,56.0
KitKat - Crisp Wafers,5.0,15.297649391330417,36.0,41.0,36.0,41.0
Red Bull - Original,23.0,5.450517740357158,13.0,36.0,13.0,36.0
SunChips Multigrain - Harvest Cheddar,14.0,9.899669326136943,24.0,38.0,24.0,38.0
CheezIt - Original,21.0,10.904514266364705,26.0,47.0,26.0,47.0
SunChips Multigrain - Salsa,15.0,9.001208540020317,21.0,36.0,21.0,36.0
Wonderful Pistachios - Variety,12.0,6.678231191613452,16.0,28.0,16.0,28.0
Robert Irvine's - Fit Crunch -  Chocolate Pea,15.0,3.6588403414049533,9.0,24.0,9.0,24.0
Goldfish Baked - Cheddar,9.0,12.198515083435469,29.0,38.0,29.0,38.0
SunChips Multigrain - Original,13.0,7.7452604312512054,19.0,32.0,19.0,32.0
Oreo Mini,7.0,10.718800329390001,25.0,32.0,25.0,32.0
Snapple Tea - Raspberry,11.0,7.782653891962021,19.0,30.0,19.0,30.0
Starbucks Doubleshot Energy - Mocha,8.0,5.420262737768623,13.0,21.0,13.0,21.0
Snapple Diet Tea - Peach Tea,7.0,8.53037159644868,20.0,27.0,20.0,27.0
Cheetos - Fleming Hot Crunchy,11.0,5.6037630508698095,14.0,25.0,14.0,25.0
Starbucks Refresher - Real Coconut Water,10.0,6.582504029584363,16.0,26.0,16.0,26.0
Snapple Tea - Lemon,16.0,13.113128637157283,31.0,47.0,31.0,47.0
Funyuns - Flaming Hot,12.0,5.6684526275229565,14.0,26.0,14.0,26.0
Kinder - Bueno - Crispy Creamy Chocolate,8.0,9.00555714193994,21.0,29.0,21.0,29.0
Cheetos Flaming Hot Limon Crunchy,4.0,4.443110482454954,11.0,15.0,11.0,15.0
Snapple Diet Tea - Lemon,4.0,7.816576363139927,19.0,23.0,19.0,23.0
Takis - Hot Chilli Pepper & Lime,8.0,14.90317024948774,35.0,43.0,35.0,43.0
