Product,TotalQuantity,MA3,MA3_MSE,MA5,MA5_MSE,SES_0.3_M1,SES_0.3_M2,SES_0.3_MSE,SES_0.5_M1,SES_0.5_M2,SES_0.5_MSE,Holt_M1,Holt_M2,Holt_MSE,ARIMA_M1,ARIMA_M2,ARIMA_MSE
Coca Cola - Zero Sugar,661,33,561.0246913580246,33,629.9942857142856,41,41,498.3152929721054,36,34,414.65013122558594,24,31,511.67772870812774,41,41,318.1667914846296
Monster Energy Original,516,29,286.5432098765432,37,325.9485714285715,36,40,228.6899333761202,30,33,228.19427386197177,23,14,282.44681746074406,35,39,214.5217024729681
Poland Springs Water,457,40,359.9629629629629,34,303.4057142857142,40,39,248.312267635042,42,40,232.45997931740501,41,46,307.391993136986,42,40,185.8059390682848
Coca Cola - Regular,353,52,837.0,53,1954.6000000000001,44,55,1554.773831143733,40,55,1526.2838541666667,68,14,6327.541649138436,82,40,1383.6423437607918
Sunkist Soda - Orange,290,19,165.2469135802469,20,112.8342857142857,22,24,161.64125143370723,20,23,168.37830699573863,17,9,321.52852101824107,28,24,138.92688806798228
KitKat - Crisp Wafers,274,36,391.7407407407407,35,540.54,30,37,279.6718150325357,26,36,287.7015686035156,27,2,427.0570025545854,5,6,234.0180769000719
Red Bull - Original,239,21,28.17283950617284,20,32.23428571428571,20,23,32.23035863810823,19,22,38.09048158472235,19,11,81.70887819174666,23,20,29.7081436379481
SunChips Multigrain - Harvest Cheddar,235,20,181.38271604938276,26,169.0,21,24,131.5613129618799,18,22,125.1258562261408,18,7,201.07942939005252,14,13,98.00345276685667
CheezIt - Original,205,18,171.88888888888889,19,185.7371428571428,20,18,139.6786681284887,21,19,138.0301275253296,20,24,155.73645749989478,21,23,118.90843138535138
SunChips Multigrain - Salsa,205,19,115.75308641975309,24,121.13142857142859,20,22,87.18896037359417,18,21,86.8681491505016,20,12,168.91351665465208,15,16,81.02175518093468
Wonderful Pistachios - Variety,196,13,49.2716049382716,16,70.34285714285713,16,17,56.25678387771704,14,15,47.58884117820046,11,8,93.34755681230195,12,12,44.598771848638826
Robert Irvine's - Fit Crunch -  Chocolate Pea,173,13,9.987654320987657,13,14.102857142857143,13,15,13.263525277527371,12,14,14.239949052984064,11,6,24.259972192250004,15,15,13.387112643892316
Goldfish Baked - Cheddar,159,17,100.66666666666666,17,186.09333333333336,17,20,104.39840733668413,13,16,113.01273018973214,11,2,140.79228607634286,9,8,148.80377024080263
SunChips Multigrain - Original,156,18,101.81481481481482,20,75.63428571428571,17,18,73.91454839380695,17,19,70.49678568406539,19,14,98.82741392316788,13,13,59.989059147905614
Oreo Mini,141,4,143.72839506172838,11,90.34285714285716,10,12,118.0512841765355,7,9,114.3216980153864,3,-2,150.8423548165347,7,7,114.89268050133118
Snapple Tea - Raspberry,139,14,91.26388888888889,13,30.320000000000004,14,16,66.46638151500575,14,16,65.41409301757812,14,10,128.5870378501601,11,12,60.569701602071596
Starbucks Doubleshot Energy - Mocha,133,13,42.857142857142854,15,51.58399999999999,13,15,35.18645483440693,12,14,32.512825859917534,12,6,67.056108468736,8,8,29.379248146443015
Snapple Diet Tea - Peach Tea,116,2,92.09876543209876,2,106.82857142857144,5,6,76.7444021945639,4,4,74.60918218439275,0,1,119.73470284231561,7,9,72.7672395734984
